Suburb Name or Postcode,Employment Regions (% of population in each Area)
2002,Sydney East Metro(100%) 
2004,Sydney East Metro(100%) 
2006,Sydney East Metro(100%) 
2007,Sydney East Metro(100%) 
2008,Sydney East Metro(100%) 
2009,Sydney East Metro(100%) 
2010,Sydney East Metro(100%) 
2011,Sydney East Metro(100%) 
2015,Sydney East Metro(100%) 
2016,Sydney East Metro(100%) 
2017,Sydney East Metro(100%) 
2018,Sydney East Metro(100%) 
2019,Sydney East Metro(100%) 
2020,Sydney East Metro(100%) 
2021,Sydney East Metro(100%) 
2022,Sydney East Metro(100%) 
2023,Sydney East Metro(100%) 
2024,Sydney East Metro(100%) 
2025,Sydney East Metro(100%) 
2026,Sydney East Metro(100%) 
2027,Sydney East Metro(100%) 
2028,Sydney East Metro(100%) 
2029,Sydney East Metro(100%) 
2030,Sydney East Metro(100%) 
2031,Sydney East Metro(100%) 
2032,Sydney East Metro(100%) 
2033,Sydney East Metro(100%) 
2034,Sydney East Metro(100%) 
2035,Sydney East Metro(100%) 
2036,Sydney East Metro(100%) 
2037,Sydney East Metro(100%) 
2038,Sydney East Metro(100%) 
2039,Sydney East Metro(100%) 
2040,Sydney East Metro(100%) 
2041,Sydney East Metro(100%) 
2042,Sydney East Metro(100%) 
2043,Sydney East Metro(100%) 
2044,Sydney East Metro(100%) 
2045,Sydney East Metro(100%) 
2046,Sydney East Metro(100%) 
2047,Sydney East Metro(100%) 
2048,Sydney East Metro(100%) 
2049,Sydney East Metro(100%) 
2050,Sydney East Metro(100%) 
2052,Sydney East Metro(100%) 
2060,Sydney North and West(100%) 
2061,Sydney North and West(100%) 
2062,Sydney North and West(100%) 
2063,Sydney North and West(100%) 
2064,Sydney North and West(100%) 
2065,Sydney North and West(100%) 
2066,Sydney North and West(100%) 
2067,Sydney North and West(100%) 
2068,Sydney North and West(100%) 
2069,Sydney North and West(100%) 
2070,Sydney North and West(100%) 
2071,Sydney North and West(100%) 
2072,Sydney North and West(100%) 
2073,Sydney North and West(100%) 
2074,Sydney North and West(100%) 
2075,Sydney North and West(100%) 
2076,Sydney North and West(100%) 
2077,Sydney North and West(100%) 
2079,Sydney North and West(100%) 
2080,Sydney North and West(100%) 
2081,Sydney North and West(100%) 
2082,Sydney North and West(100%) 
2083,Sydney North and West(100%) 
2084,Sydney North and West(100%) 
2085,Sydney North and West(100%) 
2086,Sydney North and West(100%) 
2087,Sydney North and West(100%) 
2088,Sydney North and West(100%) 
2089,Sydney North and West(100%) 
2090,Sydney North and West(100%) 
2091,Sydney North and West(100%) 
2092,Sydney North and West(100%) 
2093,Sydney North and West(100%) 
2094,Sydney North and West(100%) 
2095,Sydney North and West(100%) 
2096,Sydney North and West(100%) 
2097,Sydney North and West(100%) 
2099,Sydney North and West(100%) 
2100,Sydney North and West(100%) 
2101,Sydney North and West(100%) 
2102,Sydney North and West(100%) 
2103,Sydney North and West(100%) 
2104,Sydney North and West(100%) 
2105,Sydney North and West(100%) 
2106,Sydney North and West(100%) 
2107,Sydney North and West(100%) 
2108,Sydney North and West(100%) 
2109,Sydney North and West(100%) 
2110,Sydney North and West(100%) ;Sydney East Metro(0.0%) 
2111,Sydney North and West(100%) 
2112,Sydney North and West(100%) 
2113,Sydney North and West(100%) 
2114,Sydney North and West(100%) ;Sydney Greater West(0.0%) 
2115,Sydney Greater West(100%) 
2116,Sydney Greater West(100%) 
2117,Sydney Greater West(100%) 
2118,Sydney Greater West(100%) ;Sydney North and West(0.0%) 
2119,Sydney North and West(75.3%) ;Sydney Greater West(24.7%) 
2120,Sydney North and West(100%) 
2121,Sydney North and West(96.5%) ;Sydney Greater West(3.5%) 
2122,Sydney North and West(100%) 
2123,Sydney Greater West(0.0%) 
2125,Sydney North and West(100%) 
2126,Sydney North and West(100%) 
2127,Sydney Greater West(100%) ;Sydney East Metro(0.0%) 
2128,Sydney Greater West(100%) 
2129,Sydney East Metro(100%) 
2130,Sydney East Metro(100%) 
2131,Sydney East Metro(100%) 
2132,Sydney East Metro(100%) 
2133,Sydney East Metro(100%) 
2134,Sydney East Metro(100%) 
2135,Sydney East Metro(100%) 
2136,Sydney East Metro(100%) ;Sydney South West(0.0%) 
2137,Sydney East Metro(100%) 
2138,Sydney East Metro(100%) 
2139,Sydney East Metro(100%) 
2140,Sydney East Metro(100%) 
2141,Sydney Greater West(100%) 
2142,Sydney Greater West(100%) 
2143,Sydney Greater West(62.2%) ;Sydney South West(37.8%) 
2144,Sydney Greater West(100%) 
2145,Sydney Greater West(100%) 
2146,Sydney Greater West(100%) 
2147,Sydney Greater West(100%) 
2148,Sydney Greater West(100%) 
2150,Sydney Greater West(100%) 
2151,Sydney Greater West(100%) 
2152,Sydney Greater West(100%) 
2153,Sydney North and West(76.2%) ;Sydney Greater West(23.8%) 
2154,Sydney North and West(100%) 
2155,Sydney North and West(76.0%) ;Sydney Greater West(24.0%) 
2156,Sydney North and West(100%) 
2157,Sydney North and West(100%) 
2158,Sydney North and West(100%) 
2159,Sydney North and West(100%) 
2160,Sydney Greater West(100%) 
2161,Sydney Greater West(100%) 
2162,Sydney Greater West(100%) 
2163,Sydney Greater West(63.5%) ;Sydney South West(36.5%) 
2164,Sydney South West(92.5%) ;Sydney Greater West(7.5%) 
2165,Sydney South West(87.2%) ;Sydney Greater West(12.8%) 
2166,Sydney South West(100%) 
2167,Sydney South West(100%) 
2168,Sydney South West(100%) 
2170,Sydney South West(100%) 
2171,Sydney South West(100%) 
2172,Sydney South West(100%) 
2173,Sydney South West(100%) 
2174,Sydney South West(100%) 
2175,Sydney South West(100%) 
2176,Sydney South West(100%) 
2177,Sydney South West(100%) 
2178,Sydney South West(100%) 
2179,Sydney South West(100%) 
2190,Sydney South West(100%) ;Sydney East Metro(0.0%) 
2191,Sydney East Metro(100%) 
2192,Sydney East Metro(100%) 
2193,Sydney East Metro(100%) 
2194,Sydney East Metro(100%) 
2195,Sydney East Metro(100%) 
2196,Sydney East Metro(98.8%) ;Sydney South West(1.2%) 
2197,Sydney South West(98.7%) ;Sydney Greater West(1.3%) 
2198,Sydney South West(100%) 
2199,Sydney South West(100%) 
2200,Sydney South West(99.4%) ;Sydney East Metro(0.6%) 
2203,Sydney East Metro(100%) 
2204,Sydney East Metro(100%) 
2205,Sydney East Metro(100%) 
2206,Sydney East Metro(100%) 
2207,Sydney East Metro(100%) 
2208,Sydney East Metro(100%) 
2209,Sydney East Metro(100%) 
2210,Sydney East Metro(100%) 
2211,Sydney South West(100%) ;Sydney East Metro(0.0%) 
2212,Sydney South West(100%) 
2213,Sydney South West(100%) 
2214,Sydney South West(100%) 
2216,Sydney East Metro(100%) 
2217,Sydney East Metro(100%) 
2218,Sydney East Metro(100%) 
2219,Sydney East Metro(100%) 
2220,Sydney East Metro(100%) 
2221,Sydney East Metro(100%) 
2222,Sydney East Metro(100%) 
2223,Sydney East Metro(100%) 
2224,Sydney East Metro(100%) 
2225,Sydney East Metro(100%) 
2226,Sydney East Metro(100%) 
2227,Sydney East Metro(100%) 
2228,Sydney East Metro(100%) 
2229,Sydney East Metro(100%) 
2230,Sydney East Metro(100%) 
2231,Sydney East Metro(100%) 
2232,Sydney East Metro(100%) 
2233,Sydney East Metro(100%) 
2234,Sydney East Metro(100%) 
2250,Sydney North and West(99.7%) ;Hunter(0.3%) 
2251,Sydney North and West(100%) 
2252,Sydney North and West(100%) 
2256,Sydney North and West(100%) 
2257,Sydney North and West(100%) 
2258,Sydney North and West(100%) 
2259,Sydney North and West(93.9%) ;Hunter(6.1%) 
2260,Sydney North and West(100%) 
2261,Sydney North and West(100%) 
2262,Sydney North and West(100%) 
2263,Sydney North and West(100%) 
2264,Hunter(100%) 
2265,Hunter(100%) 
2267,Hunter(100%) 
2278,Hunter(100%) 
2280,Hunter(100%) 
2281,Hunter(100%) 
2282,Hunter(100%) 
2283,Hunter(100%) 
2284,Hunter(100%) 
2285,Hunter(100%) 
2286,Hunter(100%) 
2287,Hunter(100%) 
2289,Hunter(100%) 
2290,Hunter(100%) 
2291,Hunter(100%) 
2292,Hunter(100%) 
2293,Hunter(100%) 
2294,Hunter(100%) 
2295,Hunter(100%) 
2296,Hunter(100%) 
2297,Hunter(100%) 
2298,Hunter(100%) 
2299,Hunter(100%) 
2300,Hunter(100%) 
2302,Hunter(100%) 
2303,Hunter(100%) 
2304,Hunter(100%) 
2305,Hunter(100%) 
2306,Hunter(100%) 
2307,Hunter(100%) 
2308,Hunter(100%) 
2310,Hunter(100%) 
2311,Hunter(100%) 
2312,Mid North Coast(100%) 
2314,Hunter(100%) 
2315,Hunter(100%) 
2316,Hunter(100%) 
2317,Hunter(100%) 
2318,Hunter(100%) 
2319,Hunter(100%) 
2320,Hunter(100%) 
2321,Hunter(100%) 
2322,Hunter(100%) 
2323,Hunter(100%) 
2324,Hunter(98.6%) ;Mid North Coast(1.4%) 
2325,Hunter(100%) 
2326,Hunter(100%) 
2327,Hunter(100%) 
2328,Hunter(100%) 
2329,Hunter(98.7%) ;Central West(1.3%) 
2330,Hunter(100%) ;Sydney North and West(0.0%) ;Central West(0.0%) 
2331,Hunter(100%) 
2333,Hunter(100%) 
2334,Hunter(100%) 
2335,Hunter(100%) 
2336,Hunter(100%) 
2337,Hunter(100%) ;Mid North Coast(0.0%) 
2338,Hunter(96.5%) ;New England and North West(3.5%) 
2339,New England and North West(100%) 
2340,New England and North West(100%) ;Hunter(0.0%) 
2341,New England and North West(100%) 
2342,New England and North West(100%) 
2343,New England and North West(100%) 
2344,New England and North West(100%) 
2345,New England and North West(100%) 
2346,New England and North West(100%) 
2347,New England and North West(100%) 
2348,New England and North West(100%) 
2350,New England and North West(100%) 
2351,New England and North West(100%) 
2352,New England and North West(100%) 
2353,New England and North West(100%) 
2354,New England and North West(100%) ;Hunter(0.0%) 
2355,New England and North West(100%) 
2356,New England and North West(100%) 
2357,Far West Orana(100%) 
2358,New England and North West(100%) 
2359,New England and North West(100%) 
2360,New England and North West(100%) 
2361,New England and North West(100%) 
2365,New England and North West(100%) ;North Coast(0.0%) 
2369,New England and North West(100%) 
2370,New England and North West(99.8%) ;North Coast(0.2%) 
2371,New England and North West(100%) 
2372,New England and North West(100%) 
2379,New England and North West(59.2%) ;Far West Orana(40.8%) 
2380,New England and North West(100%) 
2381,New England and North West(97.1%) ;Far West Orana(2.9%) 
2382,New England and North West(100%) 
2386,Far West Orana(81.7%) ;New England and North West(18.3%) 
2387,Far West Orana(86.6%) ;New England and North West(13.4%) 
2388,New England and North West(97.4%) ;Far West Orana(2.6%) 
2390,New England and North West(100%) 
2395,Far West Orana(100%) 
2396,Far West Orana(100%) 
2397,New England and North West(100%) 
2398,New England and North West(100%) 
2399,New England and North West(100%) 
2400,New England and North West(100%) 
2401,New England and North West(100%) 
2402,New England and North West(100%) 
2403,New England and North West(100%) 
2404,New England and North West(100%) 
2405,New England and North West(100%) 
2406,New England and North West(85.0%) ;Darling Downs(15.0%) 
2408,New England and North West(100%) 
2409,New England and North West(100%) 
2410,New England and North West(100%) 
2411,New England and North West(100%) 
2415,Mid North Coast(100%) 
2420,Hunter(100%) 
2421,Hunter(100%) 
2422,Mid North Coast(100%) 
2423,Mid North Coast(100%) 
2424,Mid North Coast(100%) 
2425,Mid North Coast(100%) 
2426,Mid North Coast(100%) 
2427,Mid North Coast(100%) 
2428,Mid North Coast(100%) 
2429,Mid North Coast(100%) 
2430,Mid North Coast(100%) 
2431,Mid North Coast(100%) 
2439,Mid North Coast(100%) 
2440,Mid North Coast(100%) ;New England and North West(0.0%) 
2441,Mid North Coast(100%) 
2442,North Coast(100%) 
2443,Mid North Coast(100%) 
2444,Mid North Coast(100%) 
2445,Mid North Coast(100%) 
2446,Mid North Coast(100%) 
2447,Mid North Coast(100%) 
2448,Mid North Coast(100%) 
2449,Mid North Coast(100%) 
2450,Mid North Coast(98.0%) ;North Coast(2.0%) 
2452,Mid North Coast(100%) 
2453,Mid North Coast(95.0%) ;New England and North West(5.0%) 
2454,Mid North Coast(100%) 
2455,Mid North Coast(100%) 
2456,Mid North Coast(100%) 
2460,North Coast(100%) ;New England and North West(0.0%) ;Mid North Coast(0.0%) 
2462,North Coast(100%) 
2463,North Coast(100%) 
2464,North Coast(100%) 
2465,North Coast(100%) 
2466,North Coast(100%) 
2469,North Coast(81.5%) ;New England and North West(18.5%) 
2470,North Coast(100%) 
2471,North Coast(100%) 
2472,North Coast(100%) 
2473,North Coast(100%) 
2474,North Coast(100%) 
2475,New England and North West(91.5%) ;North Coast(8.5%) 
2476,North Coast(66.4%) ;New England and North West(33.6%) 
2477,North Coast(100%) 
2478,North Coast(100%) 
2479,North Coast(100%) 
2480,North Coast(100%) 
2481,North Coast(100%) 
2482,North Coast(100%) 
2483,North Coast(100%) 
2484,North Coast(98.9%) ;Gold Coast(1.1%) 
2485,Gold Coast(100%) 
2486,Gold Coast(100%) 
2487,Gold Coast(97.6%) ;North Coast(2.4%) 
2488,North Coast(100%) 
2489,North Coast(100%) 
2490,North Coast(58.2%) ;Gold Coast(41.8%) 
2500,Illawarra South Coast(100%) 
2502,Illawarra South Coast(100%) 
2505,Illawarra South Coast(100%) 
2506,Illawarra South Coast(100%) 
2508,Illawarra South Coast(100%) 
2515,Illawarra South Coast(100%) 
2516,Illawarra South Coast(100%) 
2517,Illawarra South Coast(100%) 
2518,Illawarra South Coast(100%) 
2519,Illawarra South Coast(100%) 
2522,Illawarra South Coast(100%) 
2525,Illawarra South Coast(100%) 
2526,Illawarra South Coast(100%) 
2527,Illawarra South Coast(100%) 
2528,Illawarra South Coast(100%) 
2529,Illawarra South Coast(100%) 
2530,Illawarra South Coast(100%) 
2533,Illawarra South Coast(100%) 
2534,Illawarra South Coast(100%) 
2535,Illawarra South Coast(100%) 
2536,Illawarra South Coast(100%) 
2537,Illawarra South Coast(100%) 
2538,Illawarra South Coast(100%) 
2539,Illawarra South Coast(100%) 
2540,Illawarra South Coast(100%) 
2541,Illawarra South Coast(100%) 
2545,Illawarra South Coast(100%) 
2546,Illawarra South Coast(100%) 
2548,Illawarra South Coast(100%) 
2549,Illawarra South Coast(100%) 
2550,Illawarra South Coast(100%) 
2551,Illawarra South Coast(100%) 
2555,Sydney South West(90.5%) ;Sydney Greater West(9.5%) 
2556,Sydney South West(100%) 
2557,Sydney South West(100%) 
2558,Sydney South West(100%) 
2559,Sydney South West(100%) 
2560,Sydney South West(100%) ;Illawarra South Coast(0.0%) 
2563,Sydney South West(100%) 
2564,Sydney South West(100%) 
2565,Sydney South West(100%) 
2566,Sydney South West(100%) 
2567,Sydney South West(100%) 
2568,Sydney South West(100%) 
2569,Sydney South West(100%) 
2570,Sydney South West(100%) ;Sydney Greater West(0.0%) 
2571,Sydney South West(96.6%) ;Illawarra South Coast(3.4%) 
2572,Sydney South West(100%) 
2573,Sydney South West(100%) 
2574,Sydney South West(100%) ;Illawarra South Coast(0.0%) 
2575,Illawarra South Coast(100%) ;Capital Region(0.0%) 
2576,Illawarra South Coast(100%) 
2577,Illawarra South Coast(100%) 
2578,Illawarra South Coast(100%) 
2579,Capital Region(56.2%) ;Illawarra South Coast(43.8%) 
2580,Capital Region(99.9%) ;Central West(0.1%) 
2581,Capital Region(100%) 
2582,Capital Region(100%) 
2583,Capital Region(100%) 
2584,Capital Region(100%) 
2585,Capital Region(100%) 
2586,Capital Region(100%) 
2587,Capital Region(100%) 
2588,Murray Riverina(100%) 
2590,Murray Riverina(100%) 
2594,Capital Region(99.3%) ;Central West(0.4%) ;Murray Riverina(0.2%) 
2600,Capital Region(100%) 
2601,Capital Region(100%) 
2602,Capital Region(100%) 
2603,Capital Region(100%) 
2604,Capital Region(100%) 
2605,Capital Region(100%) 
2606,Capital Region(100%) 
2607,Capital Region(100%) 
2609,Capital Region(100%) 
2611,Capital Region(99.9%) ;Murray Riverina(0.1%) 
2612,Capital Region(100%) 
2614,Capital Region(100%) 
2615,Capital Region(100%) 
2617,Capital Region(100%) 
2618,Capital Region(100%) 
2619,Capital Region(100%) 
2620,Capital Region(100%) 
2621,Capital Region(100%) 
2622,Capital Region(99.1%) ;Illawarra South Coast(0.9%) 
2623,Capital Region(100%) 
2625,Capital Region(100%) 
2626,Capital Region(100%) 
2627,Capital Region(100%) ;Murray Riverina(0.0%) 
2628,Capital Region(100%) 
2629,Capital Region(90.0%) ;Murray Riverina(10.0%) 
2630,Capital Region(100%) 
2631,Capital Region(100%) 
2632,Capital Region(98.3%) ;Illawarra South Coast(1.7%) 
2633,Capital Region(100%) 
2640,Goulburn/Murray(95.3%) ;Murray Riverina(4.7%) 
2641,Goulburn/Murray(100%) 
2642,Murray Riverina(100%) 
2643,Murray Riverina(100%) 
2644,Murray Riverina(100%) 
2645,Murray Riverina(100%) 
2646,Murray Riverina(100%) 
2647,Murray Riverina(100%) 
2648,Wimmera Mallee(69.5%) ;Murray Riverina(29.9%) ;CDP(0.6%) 
2649,Murray Riverina(100%) 
2650,Murray Riverina(100%) 
2651,Murray Riverina(100%) 
2652,Murray Riverina(100%) 
2653,Murray Riverina(100%) 
2655,Murray Riverina(100%) 
2656,Murray Riverina(100%) 
2658,Murray Riverina(100%) 
2659,Murray Riverina(100%) 
2660,Murray Riverina(100%) 
2661,Murray Riverina(100%) 
2663,Murray Riverina(100%) 
2665,Murray Riverina(86.3%) ;Central West(13.7%) 
2666,Murray Riverina(99.5%) ;Capital Region(0.4%) ;Central West(0.1%) 
2668,Central West(92.1%) ;Murray Riverina(7.9%) 
2669,Central West(85.9%) ;Murray Riverina(14.1%) 
2671,Central West(100%) 
2672,Central West(93.3%) ;CDP(6.7%) 
2675,Murray Riverina(100%) 
2678,Murray Riverina(100%) 
2680,Murray Riverina(100%) 
2681,Murray Riverina(100%) 
2700,Murray Riverina(100%) 
2701,Murray Riverina(100%) 
2702,Murray Riverina(100%) 
2703,Murray Riverina(100%) 
2705,Murray Riverina(100%) 
2706,Murray Riverina(100%) 
2707,Murray Riverina(100%) 
2708,Goulburn/Murray(100%) 
2710,Murray Riverina(100%) 
2711,Murray Riverina(100%) 
2712,Murray Riverina(100%) 
2713,Murray Riverina(100%) 
2714,Murray Riverina(100%) 
2715,Murray Riverina(100%) 
2716,Murray Riverina(100%) 
2717,Wimmera Mallee(100%) 
2720,Murray Riverina(100%) 
2721,Central West(100%) 
2722,Murray Riverina(100%) 
2725,Murray Riverina(100%) 
2726,Capital Region(100%) 
2727,Murray Riverina(100%) 
2729,Murray Riverina(100%) 
2730,Murray Riverina(100%) 
2731,Murray Riverina(100%) 
2732,Murray Riverina(100%) 
2733,Murray Riverina(100%) 
2734,Murray Riverina(100%) 
2735,Murray Riverina(100%) 
2736,Murray Riverina(100%) 
2737,Murray Riverina(100%) 
2738,Wimmera Mallee(93.2%) ;Murray Riverina(6.8%) 
2739,Wimmera Mallee(100%) 
2745,Sydney Greater West(98.7%) ;Sydney South West(1.3%) 
2747,Sydney Greater West(100%) 
2748,Sydney Greater West(100%) 
2749,Sydney Greater West(100%) 
2750,Sydney Greater West(100%) 
2752,Sydney Greater West(100%) ;Sydney South West(0.0%) 
2753,Sydney Greater West(80.8%) ;Sydney North and West(19.2%) 
2754,Sydney Greater West(87.4%) ;Sydney North and West(12.6%) 
2755,Sydney Greater West(100%) 
2756,Sydney North and West(52.0%) ;Sydney Greater West(48.0%) 
2757,Sydney North and West(100%) 
2758,Sydney North and West(99.7%) ;Sydney Greater West(0.3%) 
2759,Sydney Greater West(100%) 
2760,Sydney Greater West(100%) 
2761,Sydney Greater West(100%) 
2762,Sydney Greater West(100%) 
2763,Sydney Greater West(100%) 
2765,Sydney Greater West(62.4%) ;Sydney North and West(37.6%) 
2766,Sydney Greater West(100%) 
2767,Sydney Greater West(100%) 
2768,Sydney Greater West(100%) 
2769,Sydney Greater West(100%) 
2770,Sydney Greater West(100%) 
2773,Sydney Greater West(100%) 
2774,Sydney Greater West(100%) 
2775,Sydney North and West(100%) 
2776,Sydney Greater West(100%) 
2777,Sydney Greater West(100%) 
2778,Sydney Greater West(100%) 
2779,Sydney Greater West(100%) 
2780,Sydney Greater West(100%) 
2782,Sydney Greater West(100%) 
2783,Sydney Greater West(100%) 
2784,Sydney Greater West(100%) 
2785,Sydney Greater West(98.3%) ;Central West(1.7%) 
2786,Sydney Greater West(77.4%) ;Sydney North and West(14.0%) ;Central West(8.6%) 
2787,Central West(97.4%) ;Sydney Greater West(2.6%) ;Capital Region(0.0%) 
2790,Central West(100%) 
2791,Central West(100%) 
2792,Central West(100%) 
2793,Central West(100%) 
2794,Central West(99.4%) ;Capital Region(0.6%) 
2795,Central West(100%) 
2797,Central West(100%) 
2798,Central West(100%) 
2799,Central West(100%) 
2800,Central West(100%) 
2803,Capital Region(100%) 
2804,Central West(100%) 
2805,Central West(100%) 
2806,Central West(100%) 
2807,Capital Region(70.9%) ;Central West(29.1%) 
2808,Central West(77.8%) ;Capital Region(22.2%) 
2809,Central West(100%) 
2810,Central West(100%) 
2817,Far West Orana(100%) 
2818,Far West Orana(100%) 
2820,Far West Orana(100%) 
2821,Far West Orana(100%) 
2822,Far West Orana(100%) 
2823,Far West Orana(100%) 
2824,Far West Orana(100%) 
2825,Far West Orana(100%) 
2826,Far West Orana(100%) 
2827,Far West Orana(100%) 
2828,Far West Orana(100%) 
2829,Far West Orana(100%) 
2830,Far West Orana(100%) 
2831,Far West Orana(91.8%) ;CDP(8.2%) 
